,Name,Localization,Distance to center,Score,Experiences number,Links
279,CMG Vaugirard Tour Eiffel/ Champ de Mars,"15th arr., Paris",2.9 miles,7.7,"1,183 reviews",https://www.booking.com//hotel/fr/cmg-vaugirard-tour-eiffel-47-champ-de-mars.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
280,Republic Suite,"11th arr., Paris",0.8 miles,8.2,17 reviews,https://www.booking.com//hotel/fr/republic-suite.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
281,Apartment WS Champs Elysées - Ponthieu,"8th arr., Paris",2.2 miles,9.0,963 reviews,https://www.booking.com//hotel/fr/apartment-ws-champs-elysees-ponthieu.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
282,CMG Voltaire - Charonne II,"11th arr., Paris",1.7 miles,8.6,736 reviews,https://www.booking.com//hotel/fr/cmg-voltaire-charonne-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
283,Hôtel Diva Opera,"9th arr., Paris",1.2 miles,7.8,36 reviews,https://www.booking.com//hotel/fr/gotty-opera.html?from=searchresults;#hotelTmpl
284,Le Malown,"8th arr., Paris",1.6 miles,6.9,69 reviews,https://www.booking.com//hotel/fr/le-malown.html?from=searchresults;#hotelTmpl
285,CMG Montorgeuil/ Sebastopol,"2nd arr., Paris",0.8 miles,9.5,93 reviews,https://www.booking.com//hotel/fr/cmg-montorgeuil-47-sebastopol.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
286,La Maison Saint Germain,"6th arr., Paris",0.7 miles,7.9,10 reviews,https://www.booking.com//hotel/fr/la-maison-saint-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
287,CMG Montorgueil - Rex 1D,"2nd arr., Paris",0.9 miles,7.2,25 reviews,https://www.booking.com//hotel/fr/cmg-grand-boulevard-rex-1d.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
288,Pavillon Louvre Rivoli,"1st arr., Paris",0.9 miles,8.2,155 reviews,https://www.booking.com//hotel/fr/pavillonlouvrerivoli.html?from=searchresults;#hotelTmpl
289,Dreamyflat residence,"2nd arr., Paris",1 miles,8.3,"1,089 reviews",https://www.booking.com//hotel/fr/dreamyflat-residence.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
290,FLAAT- CHAMPS ELYSEES II,"8th arr., Paris",2.4 miles,7.5,"3,223 reviews",https://www.booking.com//hotel/fr/flaat-champs-elysees-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
291,Hôtel du Lion d'Or Louvre,"1st arr., Paris",1.1 miles,7.3,230 reviews,https://www.booking.com//hotel/fr/du-lion-d-or.html?from=searchresults;#hotelTmpl
292,Sweet Inn - Strasbourg,"10th arr., Paris",0.9 miles,7.8,30 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartments-strasbourg.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
293,Metropol,"10th arr., Paris",1.6 miles,8.7,743 reviews,https://www.booking.com//hotel/fr/hotelmetrosarl.html?from=searchresults;#hotelTmpl
294,Romantic Artist Room Montmartre Bed & Breakfast,"18th arr., Paris",2.1 miles,7.5,16 reviews,https://www.booking.com//hotel/fr/romantic-artist-room-montmartre-paris23.html?from=searchresults;#hotelTmpl
295,Luxury 2 Bedroom with AC - Louvre & Champs Elysees,"8th arr., Paris",1.5 miles,8.6,510 reviews,https://www.booking.com//hotel/fr/parisian-chic-2-bedroom-with-ac-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
296,Hotel de la Tour,"14th arr., Paris",1.7 miles,8.0,709 reviews,https://www.booking.com//hotel/fr/de-la-tour-paris.html?from=searchresults;#hotelTmpl
297,Jardin Saint Honoré Apartments,"1st arr., Paris","2,600 feet",8.7,"1,147 reviews",https://www.booking.com//hotel/fr/jardin-saint-honore.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
298,CMG Gare du Nord / Pigalle,"9th arr., Paris",1.6 miles,8.2,62 reviews,https://www.booking.com//hotel/fr/cmg-gare-du-nord-47-pigalle.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
299,Le 17,"10th arr., Paris",1.1 miles,7.0,17 reviews,https://www.booking.com//hotel/fr/le-17-paris.html?from=searchresults;#hotelTmpl
300,CMG Republique/ Montorgueil - Vertbois,"3rd arr., Paris",0.8 miles,6.8,5 reviews,https://www.booking.com//hotel/fr/cmg-republique-47-montorgueil-vertbois.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
301,Hotel Résidence Montebello,"7th arr., Paris",1.6 miles,8.2,"1,460 reviews",https://www.booking.com//hotel/fr/montebello-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
302,Hotel Mogador,"9th arr., Paris",1.5 miles,9.7,24 reviews,https://www.booking.com//hotel/fr/mogador-paris.html?from=searchresults;#hotelTmpl
303,CMG Tour Eiffel/Champs de Mars__Laos 7,"15th arr., Paris",2.4 miles,8.4,"1,723 reviews",https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-7.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
304,CMG Marais--Gravilier,"3rd arr., Paris","2,950 feet",8.1,578 reviews,https://www.booking.com//hotel/fr/cmg-marais-gravilier.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
305,Grand Powers,"8th arr., Paris",2.4 miles,7.3,"3,474 reviews",https://www.booking.com//hotel/fr/grand-powers.html?from=searchresults;#hotelTmpl
306,Appartement Nation - Goujon,"12th arr., Paris",2.4 miles,9.2,68 reviews,https://www.booking.com//hotel/fr/appartement-nation-goujon.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
307,Appartement Rodier Paris,"9th arr., Paris",1.6 miles,7.6,29 reviews,https://www.booking.com//hotel/fr/appartement-rodier-paris-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
308,Résidence Musée d'Orsay,"7th arr., Paris",1.1 miles,8.4,839 reviews,https://www.booking.com//hotel/fr/residence-st-germain-des-pres.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
309,9Hotel Republique,"10th arr., Paris",1.1 miles,8.3,"3,226 reviews",https://www.booking.com//hotel/fr/9hotel-republique.html?from=searchresults;#hotelTmpl
310,Novotel Paris Centre Tour Eiffel,"15th arr., Paris",3.1 miles,9.3,15 reviews,https://www.booking.com//hotel/fr/novotel-paris-tour-eiffel.html?from=searchresults;#hotelTmpl
311,Temple Apartments Paris,"3rd arr., Paris",0.7 miles,7.4,16 reviews,https://www.booking.com//hotel/fr/temple-apartements-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
312,CMG Montorgueil X,"2nd arr., Paris",0.8 miles,7.9,765 reviews,https://www.booking.com//hotel/fr/cmg-montorgueil-x.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
313,Hotel Saint-Louis en L'Isle,"4th arr., Paris","1,800 feet",9.5,87 reviews,https://www.booking.com//hotel/fr/saint-louis-en-l-isle.html?from=searchresults;#hotelTmpl
314,CMG Canal Saint-Martin / Saint Louis,"10th arr., Paris",1.6 miles,7.9,6 reviews,https://www.booking.com//hotel/fr/cmg-saint-louis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
315,Castille Paris – Starhotels Collezione,"1st arr., Paris",1.4 miles,8.2,"1,244 reviews",https://www.booking.com//hotel/fr/castille-paris.html?from=searchresults;#hotelTmpl
316,Hotel Icône,"2nd arr., Paris",1.1 miles,8.3,61 reviews,https://www.booking.com//hotel/fr/icone.html?from=searchresults;#hotelTmpl
317,Hôtel De l'Arcade,"8th arr., Paris",1.6 miles,9.0,24 reviews,https://www.booking.com//hotel/fr/de-l-arcade.html?from=searchresults;#hotelTmpl
318,Pere Lachaise Apartment,"11th arr., Paris",1.5 miles,8.8,76 reviews,https://www.booking.com//hotel/fr/pere-lachaise-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
319,CMG Place de la Nation I,"11th arr., Paris",2.2 miles,8.4,53 reviews,https://www.booking.com//hotel/fr/cmg-place-de-la-nation-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
320,CMG Trocadéro/ Passy II,"16th arr., Paris",3.1 miles,9.2,601 reviews,https://www.booking.com//hotel/fr/cmg-trocadero-47-passy-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
321,Dreamyflat - Loft center of Paris,"10th arr., Paris",1.3 miles,8.4,74 reviews,https://www.booking.com//hotel/fr/dreamyflat-luxury-loft-in-the-heart-of-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
322,Holiday Inn Paris Notre Dame,"6th arr., Paris","2,800 feet",8.0,35 reviews,https://www.booking.com//hotel/fr/holiday-inn-paris-notre-dame.html?from=searchresults;#hotelTmpl
323,Luxury Apartment in Paris Center - Louvre Museum,"2nd arr., Paris",0.6 miles,8.8,200 reviews,https://www.booking.com//hotel/fr/appartements-priva-c-s.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
324,Hotel Taylor,"10th arr., Paris",1 miles,8.4,"2,671 reviews",https://www.booking.com//hotel/fr/taylor.html?from=searchresults;#hotelTmpl
325,Hôtel Tivoli,"17th arr., Paris",2.9 miles,8.2,40 reviews,https://www.booking.com//hotel/fr/tivoli-etoile.html?from=searchresults;#hotelTmpl
326,Hotel du Mont Blanc,"5th arr., Paris","2,150 feet",8.5,755 reviews,https://www.booking.com//hotel/fr/du-mont-blanc.html?from=searchresults;#hotelTmpl
327,"Paris Boutik : Suite ""La Librairie du Marais""","3rd arr., Paris",0.7 miles,8.6,494 reviews,https://www.booking.com//hotel/fr/paris-boutik-suite-quot-la-librairie-du-marais-quot.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
328,27-BEST FLAT REAUMUR/MONTORGUEIL,"2nd arr., Paris",0.7 miles,7.7,21 reviews,https://www.booking.com//hotel/fr/27-best-flat-reaumur-47-montorgueil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
329,Hôtel de l'Exposition - Tour Eiffel,"15th arr., Paris",3 miles,7.1,387 reviews,https://www.booking.com//hotel/fr/de-l-exposition-tour-eiffel.html?from=searchresults;#hotelTmpl
330,Hotel Choiseul Opera,"2nd arr., Paris",1.2 miles,7.5,26 reviews,https://www.booking.com//hotel/fr/choiseul-opera.html?from=searchresults;#hotelTmpl
331,Private Apartment - Cambronne - Eiffel Tower,"15th arr., Paris",2.2 miles,7.6,412 reviews,https://www.booking.com//hotel/fr/private-apartment-cambronne-eiffel-tower.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
332,29 Best Flat Paris Marais,"3rd arr., Paris","3,100 feet",9.0,86 reviews,https://www.booking.com//hotel/fr/luxury-flat-paris-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
333,Hôtel Le Beaugency,"7th arr., Paris",2 miles,7.6,32 reviews,https://www.booking.com//hotel/fr/beaugency.html?from=searchresults;#hotelTmpl
334,The Pearl of Marais,"3rd arr., Paris",0.9 miles,8.5,901 reviews,https://www.booking.com//hotel/fr/the-pearl-of-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
335,CMG Louvre / Saint Honoré II,"1st arr., Paris","2,950 feet",9.2,28 reviews,https://www.booking.com//hotel/fr/cmg-saint-honore-ii-47-louvre-rivoli.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
336,Aparthotel Adagio Paris Montmartre,"18th arr., Paris",1.9 miles,9.0,396 reviews,https://www.booking.com//hotel/fr/pvmontmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
337,Saint-Honoré apartment,"8th arr., Paris",2.4 miles,9.2,138 reviews,https://www.booking.com//hotel/fr/saint-honore-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
338,THE RESIDENCE - LUXURY 3 BEDROOM PARIS CENTER,"10th arr., Paris",1.2 miles,7.9,561 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-3-bedroom-paris-center-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
339,Mouffetard - Rue du Fer À Moulin,"5th arr., Paris",1.2 miles,9.2,20 reviews,https://www.booking.com//hotel/fr/mouffetard-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
340,Private Apartment - Eiffel Tower - Ecole Militaire,"7th arr., Paris",2.1 miles,7.2,18 reviews,https://www.booking.com//hotel/fr/private-apartment-eiffel-tower-ecole-militaire.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
341,Residence Bergère - Appartements,"9th arr., Paris",1.1 miles,7.9,27 reviews,https://www.booking.com//hotel/fr/residence-bergere.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
342,Suite Saint-Germain - 4 guests,"6th arr., Paris",0.8 miles,7.4,38 reviews,https://www.booking.com//hotel/fr/marais-cosy.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
343,CMG Premium Tour Eiffel III,"16th arr., Paris",3 miles,8.1,770 reviews,https://www.booking.com//hotel/fr/cmg-premium-tour-eiffel-iii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
344,Luxury 2 Bedroom Le Marais,"3rd arr., Paris",0.7 miles,8.2,56 reviews,https://www.booking.com//hotel/fr/luxury-2-bedroom-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
345,Pullman Paris Tour Eiffel,"15th arr., Paris",2.7 miles,9.3,141 reviews,https://www.booking.com//hotel/fr/tour-eiffel.html?from=searchresults;#hotelTmpl
346,Berri apartment,"8th arr., Paris",2.4 miles,8.4,10 reviews,https://www.booking.com//hotel/fr/berri-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
347,Hotel Claridge Paris,"8th arr., Paris",2.3 miles,7.2,14 reviews,https://www.booking.com//hotel/fr/claridge.html?from=searchresults;#hotelTmpl
348,Sofitel Paris Le Faubourg,"8th arr., Paris",1.6 miles,8.3,"1,034 reviews",https://www.booking.com//hotel/fr/sofitel-le-faubourg.html?from=searchresults;#hotelTmpl
349,Private Apartment - Temple - Le Marais,"3rd arr., Paris","2,600 feet",7.6,"1,187 reviews",https://www.booking.com//hotel/fr/private-apartment-temple-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
350,Apartments Paris Centre - At Home Hotel,"3rd arr., Paris","2,950 feet",8.2,"1,000 reviews",https://www.booking.com//hotel/fr/vivre-a-paris-apart.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
351,67 - Amazing Parisian Flat,"2nd arr., Paris",0.7 miles,8.5,497 reviews,https://www.booking.com//hotel/fr/67-amazing-parisian-flat-paris12345.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
352,CMG Bastille/ Voltaire II,"11th arr., Paris",1.1 miles,8.7,625 reviews,https://www.booking.com//hotel/fr/cmg-bastille-voltaire-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
353,Paris Marriott Champs Elysees Hotel,"8th arr., Paris",2.4 miles,8.0,"1,072 reviews",https://www.booking.com//hotel/fr/paris-marriott-champs-elysees.html?from=searchresults;#hotelTmpl
354,HolidaysInParis-Bourg Tibourg II,"4th arr., Paris","1,300 feet",8.1,"1,672 reviews",https://www.booking.com//hotel/fr/holidaysinparis-bourg-tibourg-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
355,CMG Champ de Mars/ Grenelle,"15th arr., Paris",2.7 miles,6.9,28 reviews,https://www.booking.com//hotel/fr/cmg-champ-de-mars-47-grenelle.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
356,Hôtel de l'Avre,"15th arr., Paris",2.5 miles,8.0,"1,114 reviews",https://www.booking.com//hotel/fr/de-l-avre.html?from=searchresults;#hotelTmpl
357,Private Apartment - Ile Saint Louis,"4th arr., Paris","2,300 feet",8.0,"2,678 reviews",https://www.booking.com//hotel/fr/private-apartment-ile-saint-louis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
358,Hôtel L’Echiquier Opéra Paris - MGallery by Sofitel,"10th arr., Paris",1.1 miles,8.5,"1,084 reviews",https://www.booking.com//hotel/fr/echiquier-opera-paris.html?from=searchresults;#hotelTmpl
359,Appart'Tourisme Paris Porte de Versailles,"15th arr., Paris",3.1 miles,7.0,12 reviews,https://www.booking.com//hotel/fr/appart-tourisme-hameau.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
360,Hotel Châteaudun Opéra,"9th arr., Paris",1.5 miles,8.1,742 reviews,https://www.booking.com//hotel/fr/chateaudun-opera.html?from=searchresults;#hotelTmpl
361,BE YOU LUXURY APART'HÔTEL - LA SO NUDE,"18th arr., Paris",2.1 miles,8.2,749 reviews,https://www.booking.com//hotel/fr/luxury-apartment-montmartre-apartment-so-nude.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
362,CMG Trocadéro - Louis David,"16th arr., Paris",3.1 miles,7.5,330 reviews,https://www.booking.com//hotel/fr/cmg-david.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
363,CMG Suite Premium Tour Eiffel VII,"16th arr., Paris",3 miles,9.1,100 reviews,https://www.booking.com//hotel/fr/cmg-chambe-superieure-eiffel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
364,CMG Bastille/Voltaire,"11th arr., Paris",1.1 miles,7.6,21 reviews,https://www.booking.com//hotel/fr/cmg-bastille-47-voltaire.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
365,D'win,"4th arr., Paris","1,000 feet",6.9,"1,178 reviews",https://www.booking.com//hotel/fr/win.html?from=searchresults;#hotelTmpl
366,Private Apartment - St. Germain - Mabillon,"6th arr., Paris",0.8 miles,9.1,54 reviews,https://www.booking.com//hotel/fr/private-apartment-saint-germain-des-pres.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
367,Hôtel Le Relais Saint-Germain,"6th arr., Paris",0.7 miles,7.9,44 reviews,https://www.booking.com//hotel/fr/hotel-le-relais-saint-germain.html?from=searchresults;#hotelTmpl
368,69 - Authentic Parisian Home,"3rd arr., Paris",0.9 miles,7.3,54 reviews,https://www.booking.com//hotel/fr/69-authentic-parisian-home.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
369,CMG Suite Premium Tour Eiffel II,"16th arr., Paris",3 miles,8.0,86 reviews,https://www.booking.com//hotel/fr/cmg-suite-premium-tour-eiffel-ii-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
370,Grand Hôtel Dechampaigne,"1st arr., Paris","1,800 feet",9.4,64 reviews,https://www.booking.com//hotel/fr/grandhoteldechampagne.html?from=searchresults;#hotelTmpl
371,Home Latin,"5th arr., Paris","2,800 feet",7.9,698 reviews,https://www.booking.com//hotel/fr/home-latin.html?from=searchresults;#hotelTmpl
372,Hotel Lilas Blanc,"15th arr., Paris",2.5 miles,9.3,8 reviews,https://www.booking.com//hotel/fr/lilas-blanc.html?from=searchresults;#hotelTmpl
373,Hôtel Napoleon Paris,"8th arr., Paris",2.7 miles,7.7,"1,029 reviews",https://www.booking.com//hotel/fr/napoleonparis.html?from=searchresults;#hotelTmpl
374,Sofitel Paris Arc De Triomphe,"8th arr., Paris",2.6 miles,8.4,996 reviews,https://www.booking.com//hotel/fr/sofitel-arc-de-triomphe.html?from=searchresults;#hotelTmpl
375,Green hotels Confort Paris 13,"13th arr., Paris",2.2 miles,8.0,443 reviews,https://www.booking.com//hotel/fr/lecantagrel.html?from=searchresults;#hotelTmpl
376,Austin's Saint Lazare Hotel,"9th arr., Paris",1.8 miles,8.1,600 reviews,https://www.booking.com//hotel/fr/austin-s-saint-lazare.html?from=searchresults;#hotelTmpl
377,Appartement Caire - Paris,"2nd arr., Paris",0.8 miles,9.5,114 reviews,https://www.booking.com//hotel/fr/appartement-caire-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
378,Hôtel Avenir Jonquière,"17th arr., Paris",2.8 miles,8.3,"2,156 reviews",https://www.booking.com//hotel/fr/avenir-jonquiere.html?from=searchresults;#hotelTmpl
379,Mercure Paris Gare De Lyon TGV,"12th arr., Paris",1.3 miles,6.9,"3,501 reviews",https://www.booking.com//hotel/fr/mercure-paris-gare-de-lyon.html?from=searchresults;#hotelTmpl
380,Hôtel Elysées Flaubert,"17th arr., Paris",3 miles,9.0,9 reviews,https://www.booking.com//hotel/fr/flaubert.html?from=searchresults;#hotelTmpl
381,CMG Tour Eiffel/Champs de Mars__Laos 5,"15th arr., Paris",2.4 miles,8.0,791 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-5.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
382,Hotel Americain,"3rd arr., Paris",0.8 miles,8.4,13 reviews,https://www.booking.com//hotel/fr/americain-paris.html?from=searchresults;#hotelTmpl
383,Hotel Des Deux Continents,"6th arr., Paris",0.8 miles,8.8,14 reviews,https://www.booking.com//hotel/fr/des-deux-continents.html?from=searchresults;#hotelTmpl
384,Résidence Clignancourt,"18th arr., Paris",1.9 miles,8.3,198 reviews,https://www.booking.com//hotel/fr/ra-c-sidence-clignancourt.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
385,Toit pour Vous Chambre d'hôtes,"18th arr., Paris",2.5 miles,7.2,505 reviews,https://www.booking.com//hotel/fr/toitchezmoi.html?from=searchresults;#hotelTmpl
386,CMG Voltaire/ Nation,"11th arr., Paris",2 miles,7.1,22 reviews,https://www.booking.com//hotel/fr/cmg-voltaire-47-nation-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
387,Hôtel Renoir Montparnasse,"14th arr., Paris",1.5 miles,8.6,29 reviews,https://www.booking.com//hotel/fr/renoir.html?from=searchresults;#hotelTmpl
388,PARIS 6TH - LATIN QUARTER - ST GERMAIN DES PRES,"6th arr., Paris",0.7 miles,8.4,7 reviews,https://www.booking.com//hotel/fr/paris-6th-latin-quarter-st-germain-des-pres.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
389,Charming Flat in Paris - Villette,"19th arr., Paris",3.1 miles,7.8,958 reviews,https://www.booking.com//hotel/fr/charming-flat-in-paris-villette.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
390,Luxury apartment on the Place des Victoires,"2nd arr., Paris",0.8 miles,8.5,509 reviews,https://www.booking.com//hotel/fr/luxury-apartment-on-the-place-des-victoires.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
391,CMG Gambetta,"20th arr., Paris",2.1 miles,8.4,"1,603 reviews",https://www.booking.com//hotel/fr/cmg-gambetta.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
392,Residence Meslay,"3rd arr., Paris",0.8 miles,8.2,43 reviews,https://www.booking.com//hotel/fr/residence-meslay.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
393,Loft Saint-Michel,"6th arr., Paris","2,600 feet",8.4,53 reviews,https://www.booking.com//hotel/fr/loft-saint-michel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
394,Villa Des Princes,"6th arr., Paris",0.7 miles,8.3,18 reviews,https://www.booking.com//hotel/fr/hoteldesecoles.html?from=searchresults;#hotelTmpl
395,Luxury 3 Bedroom 2 Bathroom Family Loft in Central,"1st arr., Paris","1,650 feet",8.9,973 reviews,https://www.booking.com//hotel/fr/family-parisian-loft-3-bedrooms-2-bathrooms.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
396,LATIN QUARTER PRIVATE STUDIO,"5th arr., Paris",0.7 miles,7.6,30 reviews,https://www.booking.com//hotel/fr/latin-quarter-private-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
397,Hôtel de Genève,"9th arr., Paris",1.8 miles,8.3,48 reviews,https://www.booking.com//hotel/fr/de-geneve.html?from=searchresults;#hotelTmpl
398,Cosmotel Hotel,"10th arr., Paris",1 miles,8.3,"3,344 reviews",https://www.booking.com//hotel/fr/cosmotel.html?from=searchresults;#hotelTmpl
399,Hilton Paris Opera,"8th arr., Paris",1.8 miles,8.4,"3,867 reviews",https://www.booking.com//hotel/fr/hilton-paris-opera.html?from=searchresults;#hotelTmpl
400,Family Residence,"15th arr., Paris",2.7 miles,7.9,27 reviews,https://www.booking.com//hotel/fr/family-residence.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
401,We Loft,"11th arr., Paris",1.3 miles,7.8,108 reviews,https://www.booking.com//hotel/fr/studio-esprit-loft.html?from=searchresults;#hotelTmpl
402,Libertel Gare de L'Est Francais,"10th arr., Paris",1.4 miles,8.9,402 reviews,https://www.booking.com//hotel/fr/francais-paris.html?from=searchresults;#hotelTmpl
403,Normandy Hotel,"1st arr., Paris",1 miles,8.3,436 reviews,https://www.booking.com//hotel/fr/normandyhotel.html?from=searchresults;#hotelTmpl
404,Sèvres-Babylone - St. Germain Apartment,"7th arr., Paris",1.2 miles,8.1,489 reviews,https://www.booking.com//hotel/fr/sevres-babylone-st-germain-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
405,Hôtel Elysées Régencia,"16th arr., Paris",2.5 miles,9.0,176 reviews,https://www.booking.com//hotel/fr/elyseesregencia.html?from=searchresults;#hotelTmpl
406,CMG Suite Premium Tour Eiffel VI,"16th arr., Paris",3 miles,8.3,"1,307 reviews",https://www.booking.com//hotel/fr/cmg-suite-premium-tour-eiffel-vi.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
407,Rue Montorgueil - Chatelet Private Apartment,"2nd arr., Paris","3,100 feet",8.7,661 reviews,https://www.booking.com//hotel/fr/rue-montorgueil-chatelet-private-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
408,Home Saint Paul,"4th arr., Paris","2,800 feet",9.3,77 reviews,https://www.booking.com//hotel/fr/home-services-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
409,"Radisson Blu Champs-Elysées, Paris","8th arr., Paris",2.7 miles,7.4,655 reviews,https://www.booking.com//hotel/fr/champselysees.html?from=searchresults;#hotelTmpl
410,CMG Suite Premium Tour Eiffel V,"16th arr., Paris",3 miles,9.0,110 reviews,https://www.booking.com//hotel/fr/cmg-suite-premium-tour-eiffel-v-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
411,"Hotel de Berri, A Luxury Collection Hotel, Paris","8th arr., Paris",2.4 miles,7.4,668 reviews,https://www.booking.com//hotel/fr/de-berri-a-luxury-collection-paris.html?from=searchresults;#hotelTmpl
412,TOUR EIFFEL JAVEL,"15th arr., Paris",3.1 miles,7.5,"2,136 reviews",https://www.booking.com//hotel/fr/tour-eiffel-javel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
413,Hôtel Beaurepaire (République),"10th arr., Paris",1.1 miles,7.9,565 reviews,https://www.booking.com//hotel/fr/republiquehotel.html?from=searchresults;#hotelTmpl
414,Newhotel Le Voltaire,"11th arr., Paris",1.4 miles,9.3,47 reviews,https://www.booking.com//hotel/fr/new-le-voltaire.html?from=searchresults;#hotelTmpl
415,Hotel des Carmes,"5th arr., Paris","2,950 feet",8.9,588 reviews,https://www.booking.com//hotel/fr/des-carmes-paris.html?from=searchresults;#hotelTmpl
416,Private Apartment - St. Germain des Prés - Flore,"6th arr., Paris",0.9 miles,8.0,672 reviews,https://www.booking.com//hotel/fr/private-apartment-saint-germain-des-pres-174.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
417,Loft 5 places with view on Eiffel Tower,"16th arr., Paris",3.1 miles,8.6,"4,390 reviews",https://www.booking.com//hotel/fr/appartement-eiffel-louis-bleriot.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
418,CMG Tour Eiffel/Champs de Mars__Laos 3G,"15th arr., Paris",2.4 miles,8.1,693 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-3g.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
