,Name,Localization,Distance to center,Score,Experiences number,Links
94,La Maison de Léa,"11th arr., Paris",1.1 miles,8.7,14 reviews,https://www.booking.com//hotel/fr/la-maison-de-la-c-a.html?from=searchresults;#hotelTmpl
95,CMG Etienne Marcel/ Montorgueil,"1st arr., Paris","2,450 feet",8.1,59 reviews,https://www.booking.com//hotel/fr/cmg-etienne-marcel-47-montorgueil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
96,Les Patios du Marais 1,"3rd arr., Paris","3,100 feet",8.7,202 reviews,https://www.booking.com//hotel/fr/les-patios-du-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
97,Beatrice et Emmanuel Meublé Eiffel,"7th arr., Paris",2.1 miles,9.4,16 reviews,https://www.booking.com//hotel/fr/beatrice-et-emmanuel-meuble-eiffel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
98,Studio Saint Sulpice,"6th arr., Paris",1.1 miles,7.7,789 reviews,https://www.booking.com//hotel/fr/studio-saint-sulpice.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
99,Generator Paris,"10th arr., Paris",1.7 miles,8.5,93 reviews,https://www.booking.com//hotel/fr/generator-paris.html?from=searchresults;#hotelTmpl
100,Louvre Apartment,"1st arr., Paris","2,950 feet",7.7,177 reviews,https://www.booking.com//hotel/fr/louvre-edenoz.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
101,Classy Studios Louvre - Vendôme,"1st arr., Paris",1.5 miles,8.0,"1,657 reviews",https://www.booking.com//hotel/fr/classy-studio-champs-elysees.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
102,1 Bedroom Flat In Central Marais,"3rd arr., Paris",0.7 miles,8.2,272 reviews,https://www.booking.com//hotel/fr/1-bedroom-flat-in-central-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
103,Private Loft - Republique - Marais Area,"3rd arr., Paris",0.9 miles,7.4,739 reviews,https://www.booking.com//hotel/fr/private-loft-republique-marais-area.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
104,Private Apartment - Mabillon - St. Germain,"6th arr., Paris",0.8 miles,8.9,684 reviews,https://www.booking.com//hotel/fr/private-apartment-mabillon-st-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
105,Paris Center Marais Studio - AC - wifi,"4th arr., Paris","2,950 feet",7.1,34 reviews,https://www.booking.com//hotel/fr/studio-turenne.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
106,Maison Bréguet,"11th arr., Paris",1 miles,9.1,92 reviews,https://www.booking.com//hotel/fr/maison-breguet-paris.html?from=searchresults;#hotelTmpl
107,Saint Germain des Pres Private Apartment,"6th arr., Paris",0.7 miles,8.3,40 reviews,https://www.booking.com//hotel/fr/saint-germain-des-pres-private-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
108,Hotel Du Quai Voltaire,"7th arr., Paris",1 miles,7.2,24 reviews,https://www.booking.com//hotel/fr/du-quai-voltaire.html?from=searchresults;#hotelTmpl
109,Villa du Louvre,"1st arr., Paris",0.9 miles,7.3,"1,212 reviews",https://www.booking.com//hotel/fr/villa-du-louvre-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
110,The Residence - Luxury 2 Bedroom Paris Center,"2nd arr., Paris",0.8 miles,9.1,6 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-2-bedroom-paris-center.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
111,Libertel Austerlitz Jardin des Plantes,"5th arr., Paris",1.1 miles,8.9,353 reviews,https://www.booking.com//hotel/fr/libertel-austerlitz.html?from=searchresults;#hotelTmpl
112,Hôtel du Jardin des Plantes,"5th arr., Paris",0.9 miles,8.1,20 reviews,https://www.booking.com//hotel/fr/timjardindesplantes.html?from=searchresults;#hotelTmpl
113,Paris Hôtel Le Mediterraneen,"12th arr., Paris",1.3 miles,9.2,25 reviews,https://www.booking.com//hotel/fr/le-mediterraneen.html?from=searchresults;#hotelTmpl
114,Apartments Du Louvre - Le Marais,"2nd arr., Paris","2,600 feet",9.2,70 reviews,https://www.booking.com//hotel/fr/apartments-du-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
115,CMG Montorgueil II,"2nd arr., Paris",0.8 miles,8.5,16 reviews,https://www.booking.com//hotel/fr/cmg-montorgueil-ii-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
116,Parc Royal Appartements,"3rd arr., Paris","2,950 feet",8.1,102 reviews,https://www.booking.com//hotel/fr/parc-royal-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
117,Private Apartments - Parc Monceau Collection,"8th arr., Paris",2.7 miles,8.3,151 reviews,https://www.booking.com//hotel/fr/private-apartments-parc-monceau-collection.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
118,66 - Atelier Fidélité Paris,"10th arr., Paris",1.3 miles,8.3,16 reviews,https://www.booking.com//hotel/fr/66-atelier-fidelite-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
119,Les Patios du Marais 2,"3rd arr., Paris","2,950 feet",8.2,"1,042 reviews",https://www.booking.com//hotel/fr/les-patios-du-marais-2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
120,CMG Sentier/ Jeuneurs I,"2nd arr., Paris",0.9 miles,8.9,64 reviews,https://www.booking.com//hotel/fr/cmg-sentier-47-jeuneurs-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
121,Transparent Marais,"3rd arr., Paris","2,450 feet",7.8,12 reviews,https://www.booking.com//hotel/fr/transparent-marais-paris2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
122,SUITE CECE,"10th arr., Paris",1.7 miles,7.2,27 reviews,https://www.booking.com//hotel/fr/suite-cece.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
123,Private Penthouse - Champs Elysées - Arc de Triomphe,"8th arr., Paris",2.5 miles,9.1,72 reviews,https://www.booking.com//hotel/fr/private-apartment-champs-elysses-arc-de-triomphe.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
124,Fun and quiet,"11th arr., Paris",1.3 miles,8.3,"1,868 reviews",https://www.booking.com//hotel/fr/fun-and-quiet.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
125,Appartement Trocadero,"16th arr., Paris",3.1 miles,7.5,24 reviews,https://www.booking.com//hotel/fr/appartement-georges-mandel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
126,Private Apartment - Montorgueil - Les Halles Area,"2nd arr., Paris",0.7 miles,9.1,67 reviews,https://www.booking.com//hotel/fr/private-apartment-montorgueil-les-halles-area-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
127,Hôtel Particulier Montmartre,"18th arr., Paris",2.3 miles,9.4,24 reviews,https://www.booking.com//hotel/fr/particulier-montmartre-paris.html?from=searchresults;#hotelTmpl
128,Assas-Vavin Appartements,"6th arr., Paris",1.2 miles,7.6,37 reviews,https://www.booking.com//hotel/fr/residence-assas-vavin.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
129,Pick a Flat - Apartment in Montorgueil / Aboukir,"2nd arr., Paris",0.8 miles,8.1,39 reviews,https://www.booking.com//hotel/fr/pick-a-flat-apartment-in-montorgueil-47-aboukir.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
130,Hotel Opera Maintenon,"1st arr., Paris",1 miles,9.4,294 reviews,https://www.booking.com//hotel/fr/opera-maintenon.html?from=searchresults;#hotelTmpl
131,Studio Bourdonnais,"7th arr., Paris",2.3 miles,7.9,35 reviews,https://www.booking.com//hotel/fr/studio-bourdonnais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
132,Turenne Flat with Terrace,"3rd arr., Paris",0.7 miles,8.6,206 reviews,https://www.booking.com//hotel/fr/turenne-flat-with-terrace.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
133,CMG Blanche/ Moulin Rouge/ Place de Clichy,"18th arr., Paris",2.3 miles,8.6,752 reviews,https://www.booking.com//hotel/fr/cmg-blanche-47-moulin-rouge.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
134,Cozy Saint Georges,"13th arr., Paris",2 miles,8.1,15 reviews,https://www.booking.com//hotel/fr/cozy-saint-georges.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
135,Mercure Paris Montmartre Sacré Coeur,"18th arr., Paris",2.2 miles,8.7,281 reviews,https://www.booking.com//hotel/fr/mercure-paris-montmartre.html?from=searchresults;#hotelTmpl
136,62-LUXURY FLAT CHAMPS ELYSEES (1G),"8th arr., Paris",2.1 miles,9.0,19 reviews,https://www.booking.com//hotel/fr/62-luxury-flat-triangle-d-39-or-1g.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
137,Chic Apartments Opera,"2nd arr., Paris",1.2 miles,7.1,334 reviews,https://www.booking.com//hotel/fr/chic-apartments-opera-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
138,Be You Luxury Apart'Hôtel 16,"16th arr., Paris",3.7 miles,8.6,58 reviews,https://www.booking.com//hotel/fr/be-you-luxury-apart-39-16.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
139,CMG Louvre/ Palais Royal,"1st arr., Paris",0.9 miles,9.3,700 reviews,https://www.booking.com//hotel/fr/cmg-louvre-47-palais-royal.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
